patient_shape,patient_side_of_hit,horizontal_distance_condition_idx,move_direction,video_link
shape2,concave,6,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_6WshT9EpDbDZphs
shape2,concave,7,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_cwo9gT947zhxulg
shape2,concave,8,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_egJpgMwIDlWFVI2
shape2,concave,9,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_8AHHI7ScLXiRiom
shape2,convex,0,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_1TaWGFoDbV6kxvw
shape2,convex,3,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_1HLMLYrINq5WcGG
shape2,convex,5,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_bvfq0roqdc8DsTY
shape2,convex,6,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_2lXwclJ4sLuu6EK
shape2,convex,7,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_bJJPbwlroLTc0qa
shape2,convex,8,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_00aJym6DuPFno90
shape2,convex,9,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_dcoBhGEWDkctWkK
shape3,concave,0,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_4NoLOmiZSLWpELc
shape3,concave,3,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_bBmhS8DXOJJYJx4
shape3,concave,5,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_2t1RYOL6R8sDwIm
shape3,concave,6,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_9ZRMy19FGb5h7Dg
shape3,concave,7,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_4TuGaVYJUJA05wi
shape3,concave,8,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_5uqeigYMK2qruDk
shape3,concave,9,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_9BUcE7eaVNLBXtI
shape3,convex,0,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_1WYfMKaf69fEwF8
shape3,convex,3,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_7Qk88zWzYUHwKpg
shape3,convex,5,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_b4afmJqjONgRP02
shape3,convex,6,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_9KS8ee6Z17GjL5I
shape3,convex,7,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_dhfyYohBp6iRM7s
shape3,convex,8,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_ahrqN6mG6n45jRI
shape3,convex,9,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_d07EVubM58QL3oy
shape4,concave,0,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_6VUxXyEXtPRXfF4
shape4,concave,3,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_3lVzGHFDsh7GdOS
shape4,concave,5,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_ac3vwzQCjnvbPfw
shape4,concave,6,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_79fEOSdPFRRwrps
shape4,concave,7,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_7W0pYAUAnW5EWHA
shape4,concave,8,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_4UEgWpjxVRnhC9U
shape4,concave,9,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_cMV7ITfb1fcbwSG
shape4,convex,0,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_9MpO4Gqv39D50DI
shape4,convex,3,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_aaZgqYyPsGPe0oS
shape4,convex,5,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_ai0tENZR6i1SFSK
shape4,convex,6,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_cZaZ8yDfpcZdFIi
shape4,convex,7,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_d57vGVQC0yAudMy
shape4,convex,8,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_6r5jtFKuEQuDuyG
shape4,convex,9,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_8G5gGLhrdxhJqui
warmup,,0,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_87zmgPn9wTr7Qxw
warmup,,3,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_3aU25zdP1JcfGB0
warmup,,5,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_7WCyvnpvRo3pxCC
warmup,,6,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_9n2bMjbYOKCtY7I
warmup,,7,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_79QvJNaAcaaSO6q
warmup,,8,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_cTsM0x22CZ1oiHA
warmup,,9,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_42bkl0nyKoUm2vI
control,,0,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_dbPE1hfEXTJgL0q
control,,3,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_4NGM6o3XaYgKqiO
control,,5,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_bl89eXhmM8QQzsi
control,,6,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_57GwFJ5XuLa7TYq
control,,7,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_2rR3Wj4YP3WaFMi
control,,8,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_6uiaRdO0fIztXPU
control,,9,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_8ddK8CDIqTsGz1I
